cba	Grievance Procedure	Gender Equality	Sexual Harrassment	Discrimination	Composite Equality
perjanjian-kerja-bersama-pt-holi-karya-sakti-periode-tahun-2017-	1.0	1.44	1.0	1.0	1.0
perjanjian-kerja-bersama-antara-pt-sai-apparel-industries-dengan-pengurus-unit-kerja-kesatuan-serikat-pekerja-nasional-puk-kspn-pt-sai-apparel-industries---periode-2017-2019	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-mataram-tunggal-garmen-dengan-serikat-pekerja-tekstil-sandang-dan-kulit-serikat-pekerja-seluruh-indonesia-puk-sp-tsk---spsi-pt-mataram-tunggal-garmen---2016-2018	1.0	1.44	1.0	1.0	1.0
perjanjian-kerja-bersama-antara-pt-sukwang-indonesia-dan-serikat-pekerja-seluruh-indonesia-spsi-pt-sukwang-indonesia---2012-2014	1.0	2.33	1.0	1.0	1.27
peraturan-perusahaan-pt-fotexco-busana-internasional---bogor---2015-2017	1.0	1.44	1.0	2.0	1.3
perjanjian-kerja-bersama-antara-pt-ungaran-sari-garments-pringapus-diponegoro-congol-dengan-serikat-pekerja-nasional-pt-ungaran-sari-garments-2016-2018-	1.0	1.44	1.0	1.0	1.0
perjanjian-kerja-bersama-pkb-antara-pt-il-jin-sun-garment-dengan-sptsk-spsi-pt-il-jin-sun-garment---2017-2019	1.0	2.33	5.0	2.0	2.79
perjanjian-kerja-bersama-antara-pt-taitat-putra-rejeki-dengan-serikat-pekerja-nasional-pt-taitat-putra-rejeki---2017-2019	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-pkb-antara-pt-citra-abadi-sejati-cileungsi-dengan-pimpinan-serikat-pekerja-serikat-pekerja-nasional-psp-spn-unit-kerja-pt-citra-abadi-sejati-cileungsi---2018-2020	1.0	1.44	5.0	2.0	2.52
perjanjian-kerja-bersama-antara-pt-trigoldenstar-wisesa-dengan-serikat-pekerja-tsk-spsi-pt-trigoldenstar-wisesa-2015-2017-	1.0	1.89	5.0	2.0	2.66
perjanjian-kerja-bersama-antara-pt-teodore-pan-garmindo-dengan-ikatan-keluarga-karyawan-teodore-dan-pk-sbsi-1992-pt-teodore-pan-garmindo---periode-2017-2019	1.0	1.89	5.0	2.0	2.66
perjanjian-kerja-bersama-antara-pt-leetex-garment-indonesia-dengan-federasi-serikat-pekerja-tekstil-sandang-dan-kulit-konfederasi-serikat-pekerja-seluruh-indonesia-f-sp-tsk-kspsi-pt-leetex-garment-indonesia---2017-2019	1.0	1.44	5.0	2.0	2.52
perjanjian-kerja-bersama-antara-pt-win-textile-dengan-serikat-pekerja-tekstil-sandang-dan-kulit-serikat-pekerja-seluruh-indonesia-sp-tsk-spsi-pt-win-textile---2015-2017	1.0	2.33	1.0	2.0	1.57
perjanjian-kerja-bersama-antara-pt-sepatu-bata-dengan-puk-spai-fspmi-pt-sepatu-bata-tbk-dan-puk-sp-tsk-spsi-pt-sepatu-bata-tbk---2015-2017	1.0	1.44	1.0	1.0	1.0
perjanjian-kerja-bersama-antara-pt-quty-karunia-dengan-serikat-pekerja-tekstil-sandang-dan-kulit-serikat-pekerja-seluruh-indonesia-sp-tsk-spsi-pt-quty-karunia---2017-2019	1.0	2.33	1.0	1.0	1.27
perjanjian-kerja-bersama-antara-pt-yc-tec-indonesia-dengan-sp-tsk-spsi-dan-psp-sp--spn-pt-yc-tec-indonesia---2018-2020	1.0	1.44	5.0	1.0	2.22
perjanjian-kerja-bersama-antara-pt-pabrik-cambrics-primissima-dan-serikat-pekerja-tekstil-sandang-dan-kulit-fspsi-unit-kerja-pt-primissima---2018-2020	1.0	1.89	1.0	2.0	1.44
perjanjian-kerja-bersama-antara-pengusaha-pt-forta-larese-dan-serikat-pekerja-nasional-pt-forta-larese---2018-2020	1.0	1.44	5.0	2.0	2.52
th-a-c-lao-ng-t-p-th-ng-nh-d-t-may-vi-t-nam	1.0	1.0	1.0	2.0	1.17
th-a-c-lao-ng-t-p-th-t-p-o-n-c-ng-nghi-p-cao-su-vi-t-nam	1.0	1.0	1.0	2.0	1.17
collective-agreement-cambodiana	1.0	1.0	5.0	2.0	2.39
memorandum-of-settlement-between-feroze1888-mills-limited-and-feroze1888-mazdoor-dost-union---2012	1.0	1.44	1.0	1.0	1.0
leonardo_2012	1.0	1.89	1.0	1.0	1.14
zywiec_2010	1.0	1.89	1.0	1.0	1.14
m-v--start-zrt_2018	1.0	1.89	1.0	1.0	1.14
convenio-de-comercio-textil-para-la-provincia-de-alicante-2014-2016	1.0	1.89	5.0	3.0	2.96
convenio-colectivo-estatal-de-grandes-almacenes-entre-la-asociaci-n-nacional-de-grandes-empresas-de-distribuci-n-anged-y-los-sindicatos-fasga-y-fetico	1.8	1.89	5.0	2.0	2.9
convenio-colectivo-entre-las-empresas-del-grupo-vips-y-las-organizaciones-sindicales-cc-oo-fetico-y-ugt-2015-2018-	3.4	1.44	5.0	2.0	3.25
convenio-colectivo-de-mbito-provincial-para-el-comercio-en-general-excepto-comercio-de-ganader-a-y-comercio-metal-de-palencia-2015-2017	1.8	1.0	5.0	2.0	2.63
convenio-colectivo-estatal-del-comercio-minorista-de-droguer-as-herborister-as-y-perfumer-as-2012-2016_1	1.8	2.78	5.0	3.0	3.47
convenio-colectivo-entre-mercadona-s-a-forns-valencians-forva-s-a-unipersonal-mena-supermercados-s-l-saskibe-s-l-y-de-otra-parte-por-las-sindicatos-m-s-representativos-u-g-t-y-cc-oo	1.0	4.11	5.0	3.0	3.64
convenio-colectivo-entre-lidl-supermercados-sau-y-de-otra-parte-por-los-sindicatos-m-s-representativos-smc-ugt-y-federaci-n-de-servicios-de-ccoo	1.8	1.44	5.0	1.0	2.46
convenio-colectivo-medianas-superficies-alimentacio-n-de-castilla-y-leo-n-2015-2019	1.0	1.89	5.0	2.0	2.66
modelo-de-contrato-colectivo-para-la-tutela-de-los-derechos-de-las-trabajadoras-y-de-la-igualdad-de-g-nero-2016	1.0	2.78	1.0	3.0	2.01
v-acuerdo-laboral-de-mbito-estatal-para-el-sector-de-hosteler-a-2015-2019-con-acta-de-acuerdos-de-la-comision-negociadora-del-v-acuerdo-laboral-de-mbito-estatal-para-el-sector-de-hosteler-a-aleh-v-2019-2010	1.0	3.67	5.0	3.0	3.5
acuerdo-mundial-entre-codere-y-uni-global-union-para-el-respeto-y-la-promoci-n-del-trabajo-digno-y-los-derechos-laborales-2013---2015	1.0	1.44	5.0	3.0	2.82
acuerdo-marco-global-entre-industria-de-dise-o-textil-s-a-inditex-s-a-e-industriall-global-union-2014---2015	1.0	1.44	1.0	2.0	1.3
acuerdo-mundial-entre-inditex-industria-de-dise-o-textil-s-a-y-uni-global-union-para-el-respeto-y-la-promoci-n-del-trabajo-digno-y-los-derechos-laborales-2009	1.0	1.0	1.0	3.0	1.47
acuerdo-mundial-iuf--uita-melia-hotels-international-s-a	1.0	1.0	1.0	2.0	1.17
convenio-colectivo-banco-de-espa-a-2016-2017	1.0	1.44	1.0	1.0	1.0
convenio-colectivo-de-la-empresa-burger-king-spain-s-l-u-2017---2020	1.8	1.89	5.0	2.0	2.9
convenio-colectivo-marco-para-los-establecimientos-financieros-de-cr-dito-2017-2018	1.8	1.44	5.0	2.0	2.76
xviii-convenio-colectivo-nacional-de-empresas-de-ingenier-a-y-oficinas-de-estudios-t-cnicos-2014-2017	1.0	1.44	5.0	2.0	2.52
convenio-colectivo-del-grupo-axa-2017-2020	2.6	2.78	5.0	3.0	3.72
ii-convenio-colectivo-de-mbito-estatal-del-sector-de-contact-center-2017---2019	2.6	3.22	5.0	2.0	3.55
vi-convenio-colectivo-estatal-de-empresas-de-trabajo-temporal-2011-2020	1.8	2.78	5.0	2.0	3.17
convenio-marco-estatal-para-las-empresas-organizadoras-del-juego-del-bingo-2017-2018-2019	1.0	2.78	5.0	1.0	2.62
ii-convenio-colectivo-nacional-de-servicios-de-prevenci-n-ajenos-2017---2018	1.8	2.33	5.0	3.0	3.34
convenio-colectivo-de-grandes-almacenes-2017-2020	1.8	2.78	5.0	3.0	3.47
convenio-colectivo-nacional-del-ciclo-de-comercio-del-papel-y-artes-gr-ficas-2009-2012	1.0	4.11	5.0	3.0	3.64
convenio-colectivo-general-de-mbito-estatal-para-las-entidades-de-seguros-reaseguros-y-mutuas-colaboradoras-con-la-seguridad-social-a-os-2016-a-2019	1.8	3.22	5.0	3.0	3.61
xxi-convenio-colectivo-para-las-sociedades-cooperativas-de-cr-dito-2015---2018	1.0	2.78	5.0	2.0	2.93
convenio-colectivo-para-las-cajas-y-entidades-financieras-de-ahorro-2018	1.0	2.33	5.0	2.0	2.79
xxi-convenio-colectivo-de-autoescuelas-2008---2009	1.0	1.0	1.0	2.0	1.17
convenio-colectivo-laboral-del-comercio-de-muebles-de-la-comunidad-de-madrid-2014---2017	1.0	1.89	5.0	3.0	2.96
xi-convenio-colectivo-de-mbito-estatal-de-centros-de-asistencia-y-educaci-n-infantil-2010---2013	1.0	1.89	1.0	2.0	1.44
iv-convenio-colectivo-de-la-asociaci-n-aldeas-infantiles-sos-de-espa-a-2008---2011	1.0	2.78	5.0	2.0	2.93
convenio-colectivo-del-comercio-vario-de-la-comunidad-de-madrid-para-el-a-o-2015-2016-y-2017	1.8	2.33	5.0	3.0	3.34
convenio-colectivo-del-sector-de-comercio-textil-de-la-comunidad-aut-noma-de-madrid-suscrito-por-acotex-acitex-cc-oo-y-ugt-2016---2017	1.0	3.22	5.0	3.0	3.36
convenio-colectivo-de-hosteleria-de-bizkaia-a-os-2018-2020	1.0	1.0	1.0	2.0	1.17
primer-convenio-colectivo-del-personal-docente-e-investigador-con-contrato-laboral-de-las-universidades-p-blicas-de-andaluc-a-2008---2009	1.0	2.33	1.0	2.0	1.57
convenio-colectivo-de-oficinas-y-despachos-de-la-comunidad-de-madrid-2013---2017	1.0	1.89	5.0	2.0	2.66
convenio-colectivo-propio-acciona-multiservicios-sa-2013---2014	1.8	1.89	5.0	2.0	2.9
convenio-colectivo-de-la-empresa-iss-facility-services-s-a-servicios-auxiliares-y-sus-trabajadores-2014---2016	1.8	2.78	5.0	3.0	3.47
viii-convenio-colectivo-sectorial-de-mbito-estatal-de-las-administraciones-de-loter-as-2019	1.8	4.11	5.0	3.0	3.88
convenio-colectivo-de-la-empresa-electro-depot-espa-a-s-l-u-2019-2021	1.8	1.44	5.0	2.0	2.76
convenio-colectivo-nico-mahou-s-a-2019-2023	1.0	1.44	5.0	2.0	2.52
ii-convenio-colectivo-de-oficinas-corporativas-del-grupo-siemens-gamesa-renewable-energy-2019---2020	2.6	1.44	5.0	2.0	3.01
acta-de-acuerdo-de-la-comisi-n-negociadora-relativa-al-i-acuerdo-marco-de-adaptaci-n-y-mejora-del-xix-convenio-general-de-la-industria-qu-mica-para-ercros-s-a-2019-	1.0	1.89	5.0	2.0	2.66
ii-convenio-colectivo-grupo-renfe-2019	1.0	1.0	1.0	2.0	1.17
convenio-colectivo-de-la-empresa-frit-ravich-s-l-2018---2019	1.0	2.33	5.0	2.0	2.79
texto-del-xi-convenio-colectivo-de-red-el-ctrica-de-espa-a-s-a-u-2019---2021	1.0	2.33	1.0	2.0	1.57
convenio-colectivo-del-grupo-champion-supermercados-champion-s-a-y-grup-supeco-maxor-s-l-2019---2021	1.8	2.78	5.0	3.0	3.47
convenio-colectivo-de-trabajo-de-las-empresas-zurich-insurance-plc-sucursal-en-espa-a-zurich-vida-compa-a-de-seguros-y-reaseguros-s-a-sociedad-unipersonal-zurich-services-aie-2018-2020	1.0	2.78	5.0	2.0	2.93
v-convenio-colectivo-de-retevisi-n-i-s-a-u-2018---2020	1.0	2.33	5.0	2.0	2.79
convenio-mapfre-grupo-asegurador-2018-2021	1.0	1.89	1.0	3.0	1.74
xvii-convenio-colectivo-de-europcar-ib-s-a-para-los-a-os-2019-2020-y-2021	1.0	1.44	5.0	2.0	2.52
convenio-colectivo-del-grupo-de-empresas-mercadona-s-a-y-forns-valencians-forva-s-a-unipersonal-2019---2023	1.0	2.33	5.0	3.0	3.09
convenio-colectivo-de-la-empresa-olan-sa-2018---2021	1.0	1.0	1.0	2.0	1.17
vii-convenio-colectivo-del-hotel-crowne-plaza-barcelona-fira-center-para-los-a-os-2019-2021	1.8	1.44	5.0	1.0	2.46
convenio-colectivo-de-trabajo-de-la-empresa-radio-salud-sa-para-los-a-os-2019-2021	1.0	1.0	5.0	1.0	2.08
sexto-acuerdo-marco-del-grupo-arcelormittal-en-espana-2016---2018	1.8	2.33	5.0	2.0	3.03
convenio-colectivo-entre-grupo-santander-consumer-finance-espa-a-y-las-representaciones-sindicales-de-ccoo-y-ugt-para-los-a-os-2015-2016-2017-y-2018	1.0	1.0	1.0	2.0	1.17
ii-convenio-colectivo-estatal-del-personal-de-estructura-del-grupo-mercantil-iss-2016-2018	1.0	2.33	5.0	2.0	2.79
convenio-colectivo-entre-las-empresas-de-grupo-santander-relacionadas-en-el-art-culo-1-1-y-la-representaci-n-sindical-de-ccoo-para-los-a-os-2019-2020-2021-y-2022	1.0	1.0	1.0	2.0	1.17
vi-convenio-colectivo-de-telef-nica-servicios-audiovisuales-s-a-u-2017---2018	1.0	1.89	5.0	2.0	2.66
convenio-colectivo-de-la-industria-y-el-comercio-de-la-vid-a-os-2019-2020-2021	1.8	2.78	5.0	2.0	3.17
convenio-colectivo-pasticore-s-l-2019---2024	1.0	1.44	1.0	2.0	1.3
iv-convenio-colectivo-estatal-de-instalaciones-deportivas-y-gimnasios-2018---2019	1.0	1.89	5.0	2.0	2.66
convenio-colectivo-de-manipulado-y-envasado-de-la-empresa-agronostrum-s-l-2019---2023	1.0	1.44	5.0	1.0	2.22
convenio-colectivo-para-la-empresa-servicios-agrotur-sticos-riscal-sl-2019	1.0	1.89	5.0	2.0	2.66
ii-convenio-colectivo-del-grupo-de-empresas-tastia-group-2019---2022	1.0	2.33	5.0	2.0	2.79
convenio-colectivo-de-blasdo-infraestructuras-s-l-2020---2023	1.0	2.78	5.0	3.0	3.23
convenio-colectivo-de-bab-y-c-a-s-l-2019	1.0	1.44	1.0	1.0	1.0
ix-convenio-colectivo-de-lufthansa-cargo-ag-2019-2020	2.6	2.33	5.0	3.0	3.58
convenio-colectivo-del-sector-comercio-del-mueble-de-zaragoza-2019---2021	1.0	2.78	5.0	2.0	2.93
convenio-colectivo-de-spanish-intoplane-services-s-l-u-sis-2018-2020	1.0	1.44	5.0	2.0	2.52
kolektivni-ugovor-ugostiteljstva-pro-i-eni-tekst---2015	1.0	1.44	5.0	2.0	2.52
hrvatski-sindikat-telekomunikacija-kolektivni-ugovor-2016---2017	3.4	1.89	5.0	2.0	3.39
kolektivni-ugovor-konzum-d-d-2012---2017	1.0	1.44	5.0	2.0	2.52
kolektivni-ugovor-phoenix-farmacija-d-o-o-2016---2020	1.0	1.44	5.0	1.0	2.22
kolektivni-ugovor-tisak-ca-2015	1.0	1.0	5.0	2.0	2.39
contractul-colectiv-de-munca-la-nivelul-ramuri-i-comert-pe-anul-2010	1.0	2.78	5.0	3.0	3.23
tesco-partnership-agreement-with-usdaw---2016	1.8	1.44	5.0	2.0	2.76
recognition-and-procedural-agreement-ikea-uk-limited-and-the-union-of-shop-distributive-and-allied-workers-usdaw---2008	2.6	2.33	5.0	1.0	2.97
national-recognition-and-procedural-agreement-between-poundland-limited-distribution-and-union-of-shop-distributive-and-allied-workers---2014	1.8	2.33	1.0	2.0	1.82
national-recognition-and-procedural-agreement-between-poundland-limited-retail-and-union-of-shop-distributive-and-allied-workers---2013	2.6	2.78	5.0	2.0	3.41
agreement-between-argos-and-union-of-shop-distributive-and-allied-workers-usdaw---2015	2.6	2.33	5.0	2.0	3.28
morrisons-retail-usdaw-and-sata---2013	3.4	1.44	5.0	2.0	3.25
sainsburys---2001	2.6	1.44	5.0	2.0	3.01
cao-glastuinbouw---2014	2.6	1.44	5.0	3.0	3.31
collectieve-arbeidsovereenkomst-voor-de-technische-groothandel-2014	1.0	1.44	1.0	1.0	1.0
collectieve-arbeidsovereenkomst-albert-heijn-2014	1.8	2.33	5.0	2.0	3.03
cao-ikea-2014-2016	1.0	1.44	1.0	2.0	1.3
cao-supermarkt-levensmiddelen-2013-2017-	1.0	1.89	1.0	2.0	1.44
cao-doe-het-zelfbranche-2016-2017	1.8	1.44	5.0	2.0	2.76
cao-grootwinkelbedrijven-in-levensmiddelen-vgl-2013-2017	1.0	1.89	1.0	2.0	1.44
cao-grootwinkelbedrijf-in-textiel-vgt-2015-2016	1.0	1.0	5.0	1.0	2.08
cao-doe-het-zelfbranche-2017-2020	1.8	1.44	5.0	2.0	2.76
cao-dnb-2018-2019	2.6	1.44	5.0	2.0	3.01
msd-2019	1.0	1.44	5.0	1.0	2.22
cao-houtverwerkende-industrie-2019-2020	1.0	1.0	1.0	2.0	1.17
cao-bitumineuze-en-kunststof-dakbedekkingsbedrijven-2019-2020	1.0	2.33	5.0	2.0	2.79
cao-verzekeringsbedrijf-binnendienst-2018-2019	1.0	1.89	5.0	1.0	2.35
cao-verzekeringsbedrijf-buitendienst-2018-2019	1.0	1.89	5.0	1.0	2.35
recreatie-2019-2020	1.0	1.44	5.0	1.0	2.22
cao-meubelindustrie-en-meubileringsbedrijven-2018-2019	1.0	1.44	1.0	2.0	1.3
cao-metalektro-basis-2018-2020	1.0	2.78	1.0	3.0	2.01
cao-metalektro-hp-2018-2020	1.0	1.44	1.0	2.0	1.3
cao-sanquin-2017-2019	1.8	2.33	5.0	1.0	2.73
cao-slagersbedrijf-2019	1.0	1.44	1.0	1.0	1.0
cao-abu-2019-2021	1.0	1.89	1.0	2.0	1.44
cao-uitzend-nbbu-2019-2021	1.0	1.0	1.0	2.0	1.17
cao-voor-de-groothandel-in-groenten-en-fruit-2019-2020	1.0	1.44	1.0	1.0	1.0
cao-particuliere-beveiliging-	1.0	1.0	1.0	2.0	1.17
cao-heineken-group-b-v-2018-2019	2.6	2.33	5.0	2.0	3.28
cao-heineken-netherlands-beheer-b-v-	1.8	1.89	1.0	1.0	1.38
cao-metaal-en-techniek-2019-2021	1.0	1.44	1.0	1.0	1.0
cao-openbaar-vervoer-2018-2020-	1.8	2.78	1.0	1.0	1.65
cao-kinderopvang-2018-2019	1.0	1.89	5.0	2.0	2.66
aca---associacao-comercial-do-distrito-de-aveiro---2014	1.0	1.89	1.0	2.0	1.44
contrato-coletivo-entre-a-associa-o-nacional-de-comerciantes-e-industriais-de-produtos-alimentares-ancipa-e-a-federa-o-dos-sindicatos-da-ind-stria-e-servi-os---fetese-confeitaria-e-conserva-o-de-fruta---administrativos---2016	1.0	1.89	1.0	2.0	1.44
contrato-coletivo-entre-a-associa-o-dos-distribui-dores-de-produtos-alimentares-adipa-e-outras-e-o-sindicato-dos-trabalhadores-e-t-cnicos-de-servi-os---sitese---2016	1.0	1.89	1.0	2.0	1.44
associa-o-dos-comer-ciantes-do-porto-2014	1.0	1.44	1.0	1.0	1.0
institui-es-de-cr-dito-e-febase	1.0	1.89	1.0	2.0	1.44
acordo-coletivo-entre-as-guas-do-norte-sa-e-outras-e-o-stal---sindicato-nacional-dos-trabalhadores-da-administra-o-local-e-regional-empresas-p-blicas-concession-rias-e-afins-e-outra	1.0	3.22	5.0	3.0	3.36
brisa---auto-estradas-de-portugal-sa-e-outras-e-o-sindicato-da-constru-o-obras-p-blicas-e-servi-os---setaccop	1.0	1.89	1.0	2.0	1.44
acordo-coletivo-entre-a-bp-portugal---com-rcio-de-combust-veis-e-lubrificantes-sa-e-outras-e-a-federa-o-de-sindicatos-da-ind-stria-energia-e-transportes---cofesint-e-outra---revis-o-global	1.0	2.33	1.0	1.0	1.27
act-entre-a-cimianto-soc-t-cnica-hidr-ulica-s-a-e-outra-e-a-fetese-feder-dos-sind-dos-trabalhadores-de-servi-os-e-outros-revis-o-global-2005	1.0	1.44	1.0	1.0	1.0
acordo-de-empresa-entre-a-easyjet-airline-company-limited---sucursal-em-portugal-e-o-sindicato-nacional-do-pessoal-de-voo-da-avia-o-civil---snpvac---revis-o-global-2019	2.6	1.89	5.0	3.0	3.45
acordo-coletivo-entre-a-infraestruturas-de-portugal-sa-e-outras-e-o-sindicato-nacional-dos-trabalhadores-do-sector-ferrovi-rio-e-outros---revis-o-global-2019	4.2	2.78	1.0	1.0	2.38
acordo-coletivo-entre-a-meo---servi-os-de-comunica-es-e-multim-dia-sa-e-outras-e-o-sindicato-nacional-dos-trabalhadores-das-telecomunica-es-e-audiovisual---sinttav-e-outros---revis-o-global-2018	1.0	1.89	5.0	2.0	2.66
acordo-de-empresa-entre-a-petrogal-sa-e-a-federa-o-de-sindicatos-da-ind-stria-energia-e-transportes---cofesint-e-outros---revis-o-global-2019	3.4	2.78	1.0	2.0	2.44
act-entre-a-sociedade-de-panifica-o-sul-do-tejo-l-da-e-outras-e-a-fesaht-federa-o-dos-sindicatos-de-agricultura-alimenta-o-bebidas-hotelaria-e-turismo-de-portugal-revis-o-global-2010	1.8	3.22	5.0	2.0	3.3
acordo-colectivo-entre-a-pt-comunica-es-s-a-e-outras-e-o-sindetelco-sindicato-democr-tico-das-comunica-es-e-dos-m-dia-e-outros-revis-o-global-2011	1.0	2.33	5.0	2.0	2.79
commerce-de-detail-accord-sectoriel-2015-2016	1.0	1.44	1.0	1.0	1.0
commission-paritaire-des-employes-du-commerce-de-detail-alimentaire-accord-sectoriel-2017-2018	1.0	1.44	1.0	1.0	1.0
commission-paritaire-des-grandes-entreprises-de-vente-au-d-tail-accord-sectoriel-2017-2018	1.0	1.44	1.0	1.0	1.0
kolektivn-smlouvu-vy-ho-stupn-mezi-odborov-m-svazem-pracovn-k-obchodu-a-svazem-obchodu-a-cestovn-ho-ruchu-r_2015-2016	1.0	1.0	1.0	2.0	1.17
kolektivn-smlouva-mezi-spole-nost-billa-spol-s-r-o-a-z-kladn-odborovou-organizac-odborov-ho-svazu-pracovn-k-obchodu-a-odborov-m-svazem-pracovn-k-zem-d-lstv-a-v-ivy---asociace-svobodn-ch-odbor-r-p-sob-c-ch-u-obchodn-spole-nosti-billa_2016-2017	1.8	1.0	5.0	3.0	2.93
kolektivn-smlouva-mezi-spole-nost-penny-market-s-r-o-a-z-kladn-odborovou-organizac-odborov-ho-svazu-pracovn-k-zem-d-lstv-a-v-ivy---asociace-svobodn-ch-odbor-r-a-z-kladn-odborovou-organizac-odborov-ho-svazu-pracovn-k-obchodu_2016	1.0	1.89	1.0	2.0	1.44
kolektivna-zmuva---coop---8-1-2014	1.8	1.0	1.0	3.0	1.72
cba_slovakia_zocr_ozpocr	1.0	1.44	1.0	3.0	1.61
collective-bargaining-agreement-between-the-construction-industry-federation-of-zimbabwe-and-the-zimbabwe-building-contractors-association-and-the-zimbabwe-construction-and-allied-trades-workers-union---2012	1.0	1.89	5.0	2.0	2.66
kaupan-ty-ehtosopimus-ja-palkkaliite-2014---2017	1.0	1.44	1.0	2.0	1.3
convention-collective-nationale-du-commerce-de-d-tail-et-de-gros-pr-dominance-alimentaire-du-12-juillet-2001-etendue-par-arr-t-du-26-juillet-2002-jorf-6-ao-t-2002-	2.6	5.0	5.0	5.0	5.0
convention-collective-nationale-des-commerces-de-d-tail-non-alimentaires-antiquit-s-brocante-galeries-d-art-oeuvres-d-art-arts-de-la-table-coutellerie-droguerie-quipement-du-foyer-bazars-commerces-m-nagers-mod-lisme-jeux-jouets-pu-rinatalit-et-maroquinerie-du-9-mai-2012-avenant-du-9-mai-2012-	1.0	3.22	5.0	3.0	3.36
convention-collective-nationale-des-employ-s-et-agents-de-ma-trise-des-commerces-de-quincaillerie-fournitures-industrielles-fers-m-taux-et-quipement-de-la-maison-etendue-par-arr-t-du-29-avril-1986-jorf-1er-juin-1986-	1.0	2.78	1.0	3.0	2.01
convention-collective-nationale-du-commerce-de-d-tail-de-l-habillement-et-des-articles-textiles-du-25-novembre-1987-r-vis-par-avenant-du-17-juin-2004	1.0	2.78	1.0	3.0	2.01
convention-collective-nationale-de-la-librairie-du-24-mars-2011	1.0	2.33	1.0	3.0	1.88
convention-collective-nationale-des-entreprises-de-vente-distance-du-6-f-vrier-2001	1.0	2.78	1.0	3.0	2.01
convention-collective-nationale-de-la-charcuterie-de-d-tail-du-4-avril-2007	1.0	2.78	5.0	3.0	3.23
convention-collective-nationale-de-commerces-de-gros-du-23-juin-1970-etendue-par-arr-t-du-15-juin-1972-jonc-29-ao-t-1972-mise-jour-par-accord-du-27-septembre-1984-tendu-par-arr-t-du-4-f-vrier-1985-jorf-16-f-vrier-1985-	1.0	2.33	1.0	3.0	1.88
tarifvertr-ge-gro---und-au-enhandel-nordrhein-westfalen	1.0	2.33	1.0	2.0	1.57
verbale-incontro-rinnovo-contratto-collettivo-aziendale-ikea---2015	1.8	1.44	1.0	2.0	1.55
ipotesi-contratto-integrativo-eataly-2015-	1.0	1.44	1.0	1.0	1.0
contratto-collettivo-nazionale-di-lavoro-commercio-2015---2017	5.0	3.67	5.0	2.0	4.41
ipotesi-di-accordo-tra-gs-spa-ssc-srl-diperd-srl-carrefour-property-srl-carrefour-italia-finance-srl-carrefour-banque-sa-e-filcams-cgil-fisascat-cisl-uiltus-uil-2016	4.2	2.78	5.0	1.0	3.59
ipotesi-di-accordo-tra-autogrill-s-p-a-e-le-segreterie-nazionali-delle-oo-ss-di-filcams-cgil-fisascat-cisl-e-uiltucs-uil-2015	1.8	2.33	5.0	2.0	3.03
ipotesi-di-accordo-comifar-distribuzione-s-p-a-2015---2018-	1.0	1.89	1.0	1.0	1.14
ccnl-dipendenti-dalle-aziende-metalmeccaniche-e-della-installazione-di-impianti-2019-	1.0	4.11	5.0	1.0	3.03
ccnl-aninsei-per-il-personale-della-scuola-non-statale-2018-	1.0	1.44	1.0	1.0	1.0
ccnl-dipendenti-agenzie-di-assicurazione-in-gestione-libera-2020-	1.0	2.33	5.0	1.0	2.49
ccnl-dipendenti-degli-studi-professionali-2018-	1.8	1.44	1.0	1.0	1.24
ccnl-dipendenti-delle-ambasciate-consolati-legazioni-istituti-culturali-ed-organismi-internazionali-in-italia-2019-	1.0	1.89	1.0	2.0	1.44
ccnl-dipendenti-di-imprese-e-societ-esercenti-servizi-ambientali-2019-	1.0	4.11	5.0	3.0	3.64
ccnl-personale-del-comparto-funzioni-locali-2018-	1.0	1.44	1.0	1.0	1.0
ccnl-personale-dipendente-dagli-istituti-scolastico-educativi-gestiti-da-enti-ecclesiastici-agidae-2018-	1.0	3.22	1.0	3.0	2.15
ccnl-addetti-degli-impianti-di-trasporto-a-fune-2022-	1.8	3.22	5.0	2.0	3.3
ccnl-area-tessile-moda-chimica-ceramica---2018	1.0	2.78	5.0	2.0	2.93
ccnl-aziende-esercenti-lavorazione-commercio-trasporto-esportazione-e-importazione-all-ingrosso-di-fiori-freschi-recisi-verde-e-piante-ornamentali-per-imprese-commerciali-consortili-o-cooperative-e-g-e-i-e-2018	1.8	3.22	5.0	2.0	3.3
ccnl-dipendenti-aziende-di-lavorazione-della-foglia-di-tabacco-secco-allo-stato-sciolto-2017-2020	1.0	3.22	1.0	2.0	1.84
ccnl-dipendenti-dagli-esercizi-cinematografici-e-cinema-teatrali-2017-2019	1.0	1.89	5.0	1.0	2.35
ccnl-dipendenti-degli-istituti-per-il-sostentamento-del-clero-2017-2019	1.8	2.78	1.0	2.0	1.95
ccnl-dipendenti-imprese-artigiane-di-noleggio-autobus-con-conducente-e-relative-attivit-correlate-2019-2020	1.0	3.22	5.0	3.0	3.36
ccnl-per-gli-operai-agricoli-e-florovivaisti-2018-2021	3.4	3.67	5.0	2.0	3.93
ccnl-personale-dipendente-settore-assistenziale-socio-sanitario-e-cure-post-intensive-2017-2019	1.0	3.67	5.0	1.0	2.89
ccnl-settore-gas-e-acqua-2016-2018	1.0	4.11	5.0	2.0	3.33
